raw_record_id,source_db,doc_id_canonical,dedup_reason
2-s2.0-85215819328,,FI_000346,kept
2-s2.0-85200435866,,FI_000347,kept
2-s2.0-85189533295,,FI_000348,kept
2-s2.0-85194587924,,FI_000349,kept
2-s2.0-85195278259,,FI_000350,kept
2-s2.0-85195287840,,FI_000351,kept
2-s2.0-85195107388,,FI_000352,kept
2-s2.0-85195138969,,FI_000353,kept
2-s2.0-85195149825,,FI_000354,kept
2-s2.0-85195131890,,FI_000355,kept
2-s2.0-85201960627,,FI_000356,kept
2-s2.0-85189534352,,FI_000357,kept
2-s2.0-85189560881,,FI_000358,kept
2-s2.0-85187801912,,FI_000359,kept
2-s2.0-85187791556,,FI_000360,kept
2-s2.0-85195961550,,FI_000361,kept
2-s2.0-85200585359,,FI_000362,kept
2-s2.0-85197127639,,FI_000363,kept
2-s2.0-85189517013,,FI_000364,kept
2-s2.0-85198393869,,FI_000365,kept
2-s2.0-85195964977,,FI_000366,kept
2-s2.0-85200494991,,FI_000367,kept
2-s2.0-85200488604,,FI_000368,kept
2-s2.0-105018021959,,FI_000369,kept
2-s2.0-85193574262,,FI_000370,kept
2-s2.0-85195282337,,FI_000371,kept
2-s2.0-85201959639,,FI_000372,kept
2-s2.0-85203075477,,FI_000373,kept
2-s2.0-85207681383,,FI_000374,kept
2-s2.0-85203312677,,FI_000375,kept
2-s2.0-85200513950,,FI_000376,kept
2-s2.0-105009555624,,FI_000377,kept
2-s2.0-85200995540,,FI_000378,kept
2-s2.0-85201982752,,FI_000379,kept
2-s2.0-85218990499,,FI_000380,kept
2-s2.0-85219005013,,FI_000381,kept
2-s2.0-85219001830,,FI_000382,kept
2-s2.0-85219023625,,FI_000383,kept
2-s2.0-85218998531,,FI_000384,kept
2-s2.0-85218990748,,FI_000385,kept
2-s2.0-85219067448,,FI_000386,kept
2-s2.0-85219063292,,FI_000387,kept
2-s2.0-85219058862,,FI_000388,kept
2-s2.0-85219011065,,FI_000389,kept
2-s2.0-85212493048,,FI_000390,kept
2-s2.0-105008165625,,FI_000391,kept
2-s2.0-105007587191,,FI_000392,kept
2-s2.0-85210246545,,FI_000393,kept
2-s2.0-85210175632,,FI_000394,kept
2-s2.0-85210163322,,FI_000395,kept
2-s2.0-85204389713,,FI_000396,kept
2-s2.0-85210437067,,FI_000397,kept
2-s2.0-85210424620,,FI_000398,kept
2-s2.0-85210421828,,FI_000399,kept
2-s2.0-85210416789,,FI_000400,kept
2-s2.0-85210429180,,FI_000401,kept
2-s2.0-85210431788,,FI_000402,kept
2-s2.0-85210418868,,FI_000403,kept
2-s2.0-85210417533,,FI_000404,kept
2-s2.0-85210447495,,FI_000405,kept
2-s2.0-85210448942,,FI_000406,kept
2-s2.0-85210450328,,FI_000407,kept
2-s2.0-85210438197,,FI_000408,kept
2-s2.0-85210424643,,FI_000409,kept
2-s2.0-85210446282,,FI_000410,kept
2-s2.0-85210438148,,FI_000411,kept
2-s2.0-85210443075,,FI_000412,kept
2-s2.0-85209569900,,FI_000413,kept
2-s2.0-85216374434,,FI_000414,kept
2-s2.0-85207652192,,FI_000415,kept
2-s2.0-85214700985,,FI_000416,kept
2-s2.0-105003336627,,FI_000417,kept
2-s2.0-85209809854,,FI_000418,kept
2-s2.0-85209572941,,FI_000419,kept
2-s2.0-85213970727,,FI_000420,kept
2-s2.0-105001903620,,FI_000421,kept
2-s2.0-105001118798,,FI_000422,kept
2-s2.0-105002353847,,FI_000423,kept
2-s2.0-105002017800,,FI_000424,kept
2-s2.0-85214099072,,FI_000425,kept
2-s2.0-85218720224,,FI_000426,kept
2-s2.0-85211452646,,FI_000427,kept
2-s2.0-85210238790,,FI_000428,kept
2-s2.0-105024273542,,FI_000429,kept
2-s2.0-105007398706,,FI_000430,kept
2-s2.0-86000045384,,FI_000431,kept
2-s2.0-86000046735,,FI_000432,kept
2-s2.0-86000109950,,FI_000433,kept
2-s2.0-86000631464,,FI_000434,kept
2-s2.0-85219203325,,FI_000435,kept
2-s2.0-105001245426,,FI_000436,kept
2-s2.0-105007471267,,FI_000437,kept
2-s2.0-105004933214,,FI_000438,kept
2-s2.0-105001246411,,FI_000439,kept
2-s2.0-105026637638,,FI_000440,kept
2-s2.0-105003908088,,FI_000441,kept
2-s2.0-105003847822,,FI_000442,kept
2-s2.0-105003846475,,FI_000443,kept
2-s2.0-105003916491,,FI_000444,kept
2-s2.0-105010888576,,FI_000445,kept
2-s2.0-105010953783,,FI_000446,kept
2-s2.0-105003858349,,FI_000447,kept
2-s2.0-105026796757,,FI_000448,kept
2-s2.0-105009389306,,FI_000449,kept
2-s2.0-105023614280,,FI_000450,kept
2-s2.0-105023361579,,FI_000451,kept
2-s2.0-105025614840,,FI_000452,kept
2-s2.0-105014437117,,FI_000453,kept
2-s2.0-105014357179,,FI_000454,kept
2-s2.0-105014400130,,FI_000455,kept
2-s2.0-105025082281,,FI_000456,kept
2-s2.0-105012130886,,FI_000457,kept
2-s2.0-105018211692,,FI_000458,kept
2-s2.0-105011076289,,FI_000459,kept
2-s2.0-105019506166,,FI_000460,kept
2-s2.0-105018219637,,FI_000461,kept
2-s2.0-105018212950,,FI_000462,kept
2-s2.0-105025623045,,FI_000463,kept
2-s2.0-105019293594,,FI_000464,kept
2-s2.0-105020168642,,FI_000465,kept
2-s2.0-105018221938,,FI_000466,kept
2-s2.0-105018222614,,FI_000467,kept
2-s2.0-105018202325,,FI_000468,kept
2-s2.0-105018197218,,FI_000469,kept
2-s2.0-105018181369,,FI_000470,kept
2-s2.0-105018229526,,FI_000471,kept
2-s2.0-105018190921,,FI_000472,kept
2-s2.0-105018212190,,FI_000473,kept
2-s2.0-105018178843,,FI_000474,kept
2-s2.0-105018221850,,FI_000475,kept
2-s2.0-105015300077,,FI_000476,kept
2-s2.0-105018236183,,FI_000477,kept
2-s2.0-105018673081,,FI_000478,kept
2-s2.0-105026772568,,FI_000479,kept
2-s2.0-105014405812,,FI_000480,kept
2-s2.0-105021801845,,FI_000481,kept
2-s2.0-105013027241,,FI_000482,kept
2-s2.0-105021318781,,FI_000483,kept
2-s2.0-105023653324,,FI_000484,kept
2-s2.0-105025619306,,FI_000485,kept
2-s2.0-105026795231,,FI_000486,kept
2-s2.0-105021808781,,FI_000487,kept
2-s2.0-105020689987,,FI_000488,kept
2-s2.0-105019237406,,FI_000489,kept
2-s2.0-105021838124,,FI_000490,kept
2-s2.0-105026602412,,FI_000491,kept
2-s2.0-105022892222,,FI_000492,kept
2-s2.0-105026763324,,FI_000493,kept
2-s2.0-105026797634,,FI_000494,kept
2-s2.0-105026764525,,FI_000495,kept
2-s2.0-84885017304,,FI_000496,kept
2-s2.0-85060540956,,FI_000497,kept
2-s2.0-84958545079,,FI_000498,kept
2-s2.0-84944188070,,FI_000499,kept
2-s2.0-85058390523,,FI_000500,kept
2-s2.0-84949008826,,FI_000501,kept
2-s2.0-85125076836,,FI_000502,kept
2-s2.0-85125263446,,FI_000503,kept
2-s2.0-85148115426,,FI_000504,kept
2-s2.0-85148151127,,FI_000505,kept
2-s2.0-85089900462,,FI_000506,kept
2-s2.0-85148144772,,FI_000507,kept
2-s2.0-85054159321,,FI_000508,kept
2-s2.0-85068411452,,FI_000509,kept
2-s2.0-85130875264,,FI_000510,kept
2-s2.0-85071364469,,FI_000511,kept
2-s2.0-84978923072,,FI_000512,kept
2-s2.0-84977509383,,FI_000513,kept
2-s2.0-85017595858,,FI_000514,kept
2-s2.0-85007485778,,FI_000515,kept
2-s2.0-85125269333,,FI_000516,kept
2-s2.0-85064956909,,FI_000517,kept
2-s2.0-85007125127,,FI_000518,kept
2-s2.0-85132897958,,FI_000519,kept
2-s2.0-85032901942,,FI_000520,kept
2-s2.0-85034868023,,FI_000521,kept
2-s2.0-85029440777,,FI_000522,kept
2-s2.0-85125403521,,FI_000523,kept
2-s2.0-85034214790,,FI_000524,kept
2-s2.0-85041796119,,FI_000525,kept
2-s2.0-85163189226,,FI_000526,kept
2-s2.0-85043982696,,FI_000527,kept
2-s2.0-85053171894,,FI_000528,kept
2-s2.0-85053148434,,FI_000529,kept
2-s2.0-85085725387,,FI_000530,kept
2-s2.0-85064373250,,FI_000531,kept
2-s2.0-85086329908,,FI_000532,kept
2-s2.0-35048840264,,FI_000533,kept
2-s2.0-84892005707,,FI_000534,kept
2-s2.0-84883749028,,FI_000535,kept
2-s2.0-84875399515,,FI_000536,kept
2-s2.0-84891976820,,FI_000537,kept
2-s2.0-84891972135,,FI_000538,kept
2-s2.0-76649116520,,FI_000539,kept
2-s2.0-76649100075,,FI_000540,kept
2-s2.0-76649126380,,FI_000541,kept
2-s2.0-84930582258,,FI_000542,kept
2-s2.0-85038015350,,FI_000543,kept
2-s2.0-84866259594,,FI_000544,kept
WOS:000358515900005,,FI_000545,kept
2-s2.0-85015209049,,FI_000546,kept
2-s2.0-84930725891,,FI_000547,kept
2-s2.0-84930730583,,FI_000548,kept
WOS:000337939000030,,FI_000549,kept
2-s2.0-84927740267,,FI_000550,kept
2-s2.0-85028559589,,FI_000551,kept
2-s2.0-85028570144,,FI_000552,kept
2-s2.0-85028561435,,FI_000553,kept
2-s2.0-85028555623,,FI_000554,kept
2-s2.0-85028535712,,FI_000555,kept
