node,publications,degree
"Sinha, A.",2,2
"Destek, M.A.",2,2
"Alharthi, M.",2,0
"Zafar, M.W.",2,2
Scholtens,1,0
"Ghosh, S.",4,1
"Sahu, T.N.",8,3
"Udemba, E.N.",1,0
"Shah, S.A.R.",2,0
"Philip, L.D.",1,0
"Zhao, G.",3,0
"Yan, Z.",4,0
"Sun, Q.",2,0
"Abdulkareem, H.K.K.",2,0
"Jimoh, S.O.",1,0
"Nofiu, T.T.",1,0
"Akande, R.S.",1,0
"Parveen, S.",1,0
"Coccorese, P.",1,0
"Umer, M.",1,0
"Tahir, A.H.",1,0
"Gharbi, I.",3,1
"Ajina, A.",1,0
"Nefla, D.",1,0
"Hassan, R.",2,0
"Jellouli, S.",1,0
"Ben Thabet, S.",1,0
"Salman, M.",1,0
"Sarker, M.R.",1,0
"Rahman, M.A.",4,2
"Mckenzie, A.M.",1,0
"Sarkar, M.A.R.",1,0
"Jaiswal, S.",1,0
"Satyanisth, A.",1,0
"Kusimba, S.",1,0
"Yang, Y.",5,0
"Chawla, N.",1,0
Padgett,1,0
E.S.,1,0
"Köhn, S.",1,0
"Siré, N.",1,0
"Singh, J.",5,1
"Dutt, P.",1,0
"Adbi, A.",3,1
"Natarajan, S.",3,1
"Ayodeji, S.",1,0
"Akinyele, O.",1,0
"Adegboye, A.",1,0
"Ambaw, D.T.",1,0
"Banerjee, R.",6,0
"Lushington, K.",1,0
"Lowies, B.",1,0
"Nutassey, V.A.",1,0
"Frimpong, S.",1,0
"Agyei, S.K.",1,0
"Amoako, D.",1,0
"Simplice, S.A.",16,8
"Zogo, T.E.",1,0
"Mete, M.C.N.",1,0
"Mensah, B.D.",1,0
"Kammoun, A.",2,1
"Kefi, M.K.",1,0
Ullah,1,0
A.K.M.A.,1,0
"Gong, Yf",1,0
"Zhou, Zf",1,0
"Rodríguez, F.R.",1,0
"González-Sánchez, V.M.",1,0
"Ríos-Sastre, S.",1,0
"Ottina, M.",1,0
"Steffensen, P.J.",1,0
"Kristensen, J.",1,0
"Hedvicakova, M.",3,1
"Svobodová, L.",2,1
Sugie,1,0
Sirgy,2,1
Busumtwi-Sam,1,0
Gautam,1,0
D.P.,2,0
"Biyela, N.",1,0
"Tsibolane, P.",3,0
"Van-Belle, J.-P.",2,0
Soukal,1,0
"Pražák, P.",1,0
"Potnis, D.",4,1
"Gala, B.",1,0
"Ngassam, R.G.N.",1,0
"Kala-Kamdjoug, J.R.K.",1,0
"Wafo, S.D.",1,0
"Fosso Wamba, S.F.",6,5
"Nan, Wx",1,0
"Markus, Ml",1,0
"Joshi, T.",1,0
"Gupta, S.S.",2,0
"Rangaswamy, N.",3,0
"Leoveanu, V.M.",2,2
"Sandu, M.C.",2,2
"Coman, A.",2,2
"Halvorsen, C.J.",1,0
"Skees, S.",1,0
"Halloluwa, T.",3,2
"Vyas, D.",3,2
"Camara, F.G.",1,0
"Traoré, D.",1,0
"Calvary, G.",1,0
"Kali, A.",1,0
"Özyilmaz, K.R.",1,0
"Kongel, N.B.",1,0
"Nalbant, A.E.",1,0
"Özcan, A.",1,0
Kaicer,1,0
"Kouame, E.",2,0
"Kedir, A.M.",1,0
Abdulhamid,1,0
N.A.,3,0
"Mbodji, Fn",1,0
"Mendy, G",1,0
"Mbacke, Ab",1,0
"Ouya, S",1,0
"Reppas, D.",1,0
"Muschert, G.",1,0
Chipere,2,0
"Akinnuwesi, B.A.",2,2
