source,target,weight
"Kisseih, K.G.","Ziblilla, Y.M.",2
"Kisseih, K.G.","Halidu, B.O.",2
"Mohammed, A.","Ziblilla, Y.M.",2
"Mohammed, A.","Halidu, B.O.",2
"Ziblilla, Y.M.","Halidu, B.O.",2
"Mago, S.","Modiba, F.S.",2
"Lahnech, A.","Chami, M.",2
"Dodoo, R.N.A.","Mangudhla, T.",2
"Dodoo, R.N.A.","Boadi, E.B.",2
"Mangudhla, T.","Boadi, E.B.",2
"Hewett, P.C.","Austrian, K.",2
"Hewett, P.C.","Soler-Hampejsek, E.",2
"Hewett, P.C.","Behrman, J.R.",2
"Austrian, K.","Soler-Hampejsek, E.",2
"Austrian, K.","Behrman, J.R.",2
"Soler-Hampejsek, E.","Behrman, J.R.",2
"Mishra, D.","Agarwal, N.",2
"Sahoo, A.P.","Patnaik, A.",2
"Sahoo, A.P.","Patnaik, B.C.M.",2
"Patnaik, A.","Patnaik, B.C.M.",2
"Taneja, S.","Bhatnagar, M.",3
"Li, C.","Gu, B.",2
"Somville, V.","Vandewalle, L.",2
"Rehman, R.","Katpar, S.J.",2
"Arebo, M.J.","Hando, F.H.",2
"Arebo, M.J.","Mekonnen, A.G.",2
"Hando, F.H.","Mekonnen, A.G.",2
"Agarwal, A.","Pandey, K.N.",2
"Agarwal, A.","Agarwal, Y.",2
"Salgotra, A.K.","Kandari, P.",3
"Salgotra, A.K.","Bahuguna, U.",3
"Kandari, P.","Bahuguna, U.",3
"Ali, J","Khan, Ma",3
"Ali, J","Wadood, M",2
"Ali, J","Khan, Us",2
"Khan, Ma","Wadood, M",2
"Khan, Ma","Khan, Us",2
"Wadood, M","Khan, Us",2
"Hernández-Mejía, S.","Moreno-García, E.",3
"Khan, M.S.R.","Kadoya, Y.",3
"Mangani, K.S.","Syaukat, Y.",2
"Mangani, K.S.","Arifin, B.",2
"Mangani, K.S.","Tambunan, M.",2
"Syaukat, Y.","Arifin, B.",2
"Syaukat, Y.","Tambunan, M.",2
"Arifin, B.","Tambunan, M.",2
"Kamarudin, F.","Hussain, H.I.",2
"Kamarudin, F.","Anwar, N.A.M.",2
"Hussain, H.I.","Anwar, N.A.M.",2
Neelam,"Bhattacharya, S.",2
Neelam,"Bhattacharya, S",2
"Sahoo, S.P.","Nayak, D.P.",2
"Ferreira, S.","Dickason–Koekemoer, Z.",2
"Esomar, M.J.F.","Wijayanti, R.",2
"Esomar, M.J.F.","Aisjah, S.",2
"Wijayanti, R.","Aisjah, S.",2
"Bobek, V.","Horvat, T.",2
Chummun,B.Z.,4
"Sundaram, N.","Sriram, M.",3
"Sundaram, N.","Sundaram, S.",2
J.A.,Mustafa,2
"Panait, M.","Vasile, V.",2
"Palazzo, M.","Panait, M.C.",2
"Wiryono, S.K.","Faturohman, T.",2
Chhatoi,Bp,2
"Olaleye, Sa","Sanusi, It",2
"Olaleye, Sa","Oyelere, Ss",2
"Sanusi, It","Oyelere, Ss",2
"Sabri, M.F.","Zakaria, N.F.",2
"Chawla, I.","Mokhtari, M.",2
"Tran, H.T.T.","Le, H.T.T.",2
"Petrikova, T.","Kočišová, K.",2
"Mohamed Naim, A.M.","Mirza, A.A.I.",2
"Mohamed Naim, A.M.","Shukor, A.R.A.",2
"Mohamed Naim, A.M.","Md Nor, M.Z.M.",2
"Mohamed Naim, A.M.","Muhamed, N.A.",2
"Mohamed Naim, A.M.","Ahmad, A.",2
"Mohamed Naim, A.M.","Ali, S.R.S.",2
"Mirza, A.A.I.","Shukor, A.R.A.",2
"Mirza, A.A.I.","Md Nor, M.Z.M.",2
"Mirza, A.A.I.","Muhamed, N.A.",2
"Mirza, A.A.I.","Ahmad, A.",2
"Mirza, A.A.I.","Ali, S.R.S.",2
"Shukor, A.R.A.","Md Nor, M.Z.M.",2
"Shukor, A.R.A.","Muhamed, N.A.",2
"Shukor, A.R.A.","Ahmad, A.",2
"Shukor, A.R.A.","Ali, S.R.S.",2
"Md Nor, M.Z.M.","Muhamed, N.A.",2
"Md Nor, M.Z.M.","Ahmad, A.",2
"Md Nor, M.Z.M.","Ali, S.R.S.",2
"Muhamed, N.A.","Ahmad, A.",2
"Muhamed, N.A.","Ali, S.R.S.",2
"Ahmad, A.","Ali, S.R.S.",2
"Nguyen, M.P.","Phan, A.",2
"Kelly-Louw, M.","Damar-Blanken, D.",2
"Azaad Moonesar, I.A.","Braendle, U.C.",2
"Azaad Moonesar, I.A.","Rao, A.",2
"Braendle, U.C.","Rao, A.",2
"Bhuvana, M.","Vasantha, S.",6
"Lu, M.-P.","Kosim, Z.",3
"Haryono, N.","Kautsar, A.",2
"Nor, B.A.","Osman, H.O.",2
"Nor, B.A.","Abdi, H.",2
"Osman, H.O.","Abdi, H.",2
"Pratikto, H.","Restuningdiah, N.",2
"Safronova, T","Chernousova, N",2
"Safronova, T","Safronova, M",2
"Chernousova, N","Safronova, M",2
"Ivashchenko, A.","Polishchuk, Y.",2
"Monday, J.U.","Ojiako, U.",2
"Kraiwanit, T.","Limna, P.",2
"Kraiwanit, T.","Moolngearn, P.",2
"Limna, P.","Moolngearn, P.",2
"Debnath, P.","Das, K.",2
"Debnath, P.","Bhuyan, A.K.",2
"Debnath, P.","Kanoo, R.",2
"Debnath, P.","Saha, A.",2
"Debnath, P.","Debi, H.",2
"Das, K.","Bhuyan, A.K.",2
"Das, K.","Kanoo, R.",2
"Das, K.","Saha, A.",2
"Das, K.","Debi, H.",2
"Bhuyan, A.K.","Kanoo, R.",2
"Bhuyan, A.K.","Saha, A.",2
"Bhuyan, A.K.","Debi, H.",2
"Kanoo, R.","Saha, A.",2
"Kanoo, R.","Debi, H.",2
"Saha, A.","Debi, H.",2
"Binaluyo, J.P.","Agustin, N.B.",2
"Binaluyo, J.P.","Santos, A.R.",2
"Agustin, N.B.","Santos, A.R.",2
"Moïse, B","Xu, Hy",2
"Tan, T.","Phan, T.Q.",3
"Phan, T.Q.","Bhattacharya, P.",2
"Pradana, M.","Kartawinata, B.R.",2
"Shahu, E.","Imami, D.",2
"Shahu, E.","Zhllima, E.",2
"Imami, D.","Zhllima, E.",2
"Sungkawaningrum, F.","Hartono, S.",2
"Güz, T","Poyraz, G",2
"Antonijević, M.","Domazet, I.",2
"Akinyemi, B.O.","Olalere, D.A.",2
"Akinyemi, B.O.","Sanni, M.L.",2
"Akinyemi, B.O.","Olajubu, E.A.",2
"Akinyemi, B.O.","Aderounmu, G.A.",2
"Olalere, D.A.","Sanni, M.L.",2
"Olalere, D.A.","Olajubu, E.A.",2
"Olalere, D.A.","Aderounmu, G.A.",2
"Sanni, M.L.","Olajubu, E.A.",2
"Sanni, M.L.","Aderounmu, G.A.",2
"Olajubu, E.A.","Aderounmu, G.A.",2
"Christopher, C.A.","Nithya, A.R.",2
"Munongo, S.","Tsaurai, K.",3
"Udo, E.S.","Enemuo, J.I.",2
Fundji,O.J.,2
"Ackah, C.","Steel, W.F.",2
"Ackah, C.","Bokpin, G.A.",2
"Steel, W.F.","Bokpin, G.A.",2
"Ali, G.","Dida, M.A.",2
"Ali, G.","Sam, A.E.",2
"Dida, M.A.","Sam, A.E.",2
"Yoon, S.S.","Oh, I.",2
"Rubio, J.","Leon, M.",2
"Guo, Y.","Naseer, M.M.",2
"Náñez Alonso, S.L.N.","Jorge-Vazquez, J.",2
"Náñez Alonso, S.L.N.","Forradellas, R.F.R.",2
"Jorge-Vazquez, J.","Forradellas, R.F.R.",2
"Sebayang, T.E.","Hakim, D.B.",2
"Sebayang, T.E.","Bakhtiar, T.",2
"Sebayang, T.E.","Indrawan, D.",2
"Hakim, D.B.","Bakhtiar, T.",2
"Hakim, D.B.","Indrawan, D.",2
"Bakhtiar, T.","Indrawan, D.",2
"Rusmanto, T.","Warganegara, D.L.",2
"Bédécarrats, F.","Bastiaensen, J.",2
"Bédécarrats, F.","Doligez, F.",2
"Bastiaensen, J.","Doligez, F.",2
"Mohamad, M.","Wood-Harper, T.",2
"Mohamad, M.","Ramlogan, R.",2
"Wood-Harper, T.","Ramlogan, R.",2
"Etim, A.S.","Etim, D.N.",2
"Blome, C.","Sivarajah, U.",2
"Alhassan, Y.","Nwagbara, U.",2
"Bernhardt, S.","Kansara, T.",2
"Bernhardt, S.","Cooper, N.",2
"Kansara, T.","Cooper, N.",2
"Gadicha, V.B.","Gadicha, A.B.",2
"Rani, J.","Guru, R.",2
"Rani, J.","Sakthivel, S.",2
"Guru, R.","Sakthivel, S.",2
Ida Evangeline,S.I.,2
"Tyagi, A.K.","Vittala, K.R.",2
"Tyagi, A.K.","Seranmadevi, R.",2
"Vittala, K.R.","Seranmadevi, R.",2
"Kersop, M.","Du Toit, S.F.",2
"Khatua, P.","Panda, L.",2
"Wiksuana, I.G.B.","Candraningrat, I.R.",2
"Magashi, C.","Sam, A.",2
"Magashi, C.","Agbinya, J.",2
"Magashi, C.","Mbelwa, J.",2
"Sam, A.","Agbinya, J.",2
"Sam, A.","Mbelwa, J.",2
"Agbinya, J.","Mbelwa, J.",2
"Sohrab, T.","Idris, F.",2
"Sohrab, T.","Sulaiman, N.",2
"Idris, F.","Sulaiman, N.",2
"Huong, D.T.","Anh, N.T.",2
"Medhi, I","Toyama, K",2
"Nosrati, L","Bidgoli, Am",2
"Nenova, T","Niang, Ct",3
"Nenova, T","Ahmad, A",3
"Niang, Ct","Ahmad, A",3
"Simumba, N","Okami, S",2
"Simumba, N","Kohtake, N",2
"Okami, S","Kohtake, N",2
"Polák, P.","Kocurek, K.",2
"Okoye, Lu","Omankhanlen, Ae",2
"Prymostka, L","Krasnova, I",2
"Kumari, D.A.T.","Azam, S.M.",2
"Santoso, B.","Ahmad, K.",2
"Njenga, K","Ndlovu, S",2
