source,target,weight
"Bermudez, L.G.","Garfinkel, I.",2
"Bermudez, L.G.","Waldfogel, J.",2
"Bermudez, L.G.","Brooks-Gunn, J.",2
"Garfinkel, I.","Waldfogel, J.",2
"Garfinkel, I.","Brooks-Gunn, J.",2
"Waldfogel, J.","Brooks-Gunn, J.",2
"West, S.","Friedline, T.",3
"Danquah, M","Iddrisu, Am",2
"Sinha, A.","Destek, M.A.",2
"Sinha, A.","Zafar, M.W.",2
"Destek, M.A.","Zafar, M.W.",2
"Ghosh, S.","Sahu, T.N.",2
"Sahu, T.N.","Maity, S.",3
"Sahu, T.N.","Datta, S.",4
"Gharbi, I.","Kammoun, A.",2
"Rahman, M.A.","Zheng, C.",2
"Rahman, M.A.","Hossain, S.",2
"Singh, J.","Adbi, A.",2
"Natarajan, S.","Thomas, B.",2
"Simplice, S.A.","Le Roux, S.",2
"Simplice, S.A.","Odhiambo, N.",3
"Simplice, S.A.","Nnanna, J.",3
"Simplice, S.A.","Agyemang-Mintah, P.",2
"Simplice, S.A.","Biekpe, N.",2
"Simplice, S.A.","Cassimon, D.",2
"Simplice, S.A.","Ngoungou, Y.E.",2
"Simplice, S.A.","Odhiambo, N.M.",2
"Hedvicakova, M.","Svobodová, L.",2
"Potnis, D.","Mohan, L.",3
"Fosso Wamba, S.F.","De Waal, H.",2
"Fosso Wamba, S.F.","Nyawa, S.",2
"Fosso Wamba, S.F.","Queiroz, M.M.",2
"Fosso Wamba, S.F.","Blome, C.",2
"Fosso Wamba, S.F.","Sivarajah, U.",2
"Leoveanu, V.M.","Sandu, M.C.",2
"Leoveanu, V.M.","Coman, A.",2
"Sandu, M.C.","Coman, A.",2
"Halloluwa, T.","Vyas, D.",3
"Halloluwa, T.","Usoof, H.",2
"Vyas, D.","Usoof, H.",2
"Akinnuwesi, B.A.","Fashoto, S.G.",2
"Akinnuwesi, B.A.","Metfula, A.S.",2
"Fashoto, S.G.","Metfula, A.S.",2
L.,Fan,3
L.,Gonzalez,3
C.,Tumbe,2
"Kunz, R.","Maisenbacher, J.",3
